Full sealed-sector lists (best variant = A and B, identical).
  (16,15) type=7 pillar           Item=  12 addl=0
  (20,15) type=1 normal           Item= 285 addl=0
  (22,15) type=1 normal           Item= 283 addl=0
  (30,15) type=1 normal           Item= 330 addl=0
  ( 3,16) type=1 normal           Item= 127 addl=0
  (26,16) type=1 normal           Item= 238 addl=0
  (28,16) type=1 normal           Item= 237 addl=0
  (30,16) type=1 normal           Item=  -1 addl=0
  ( 3,17) type=1 normal           Item= 298 addl=0
  (14,17) type=1 normal           Item= 132 addl=0
  (16,17) type=1 normal           Item= 134 addl=0
  (30,17) type=1 normal           Item= 329 addl=0
  ( 3,18) type=1 normal           Item=  -1 addl=0
  (26,18) type=1 normal           Item=  -1 addl=0
  (28,18) type=1 normal           Item=  -1 addl=0
  (30,18) type=1 normal           Item=  -1 addl=0
  ( 2,19) type=1 normal           Item= 295 addl=0
  ( 3,19) type=1 normal           Item=  -1 addl=0
  ( 4,19) type=1 normal           Item= 296 addl=0
  ( 8,19) type=1 normal           Item= 141 addl=0
  (10,19) type=1 normal           Item= 249 addl=0
  (20,19) type=1 normal           Item= 248 addl=0
  (22,19) type=1 normal           Item= 147 addl=0
  (30,19) type=1 normal           Item=  -1 addl=0
  ( 2,20) type=1 normal           Item= 149 addl=0
  ( 3,20) type=1 normal           Item=  -1 addl=0
  ( 4,20) type=1 normal           Item= 150 addl=0
  ( 5,20) type=1 normal           Item= 151 addl=0
  (30,20) type=1 normal           Item= 328 addl=0
  ( 2,21) type=1 normal           Item=  -1 addl=0
  ( 3,21) type=1 normal           Item= 164 addl=0
  ( 4,21) type=1 normal           Item=  -1 addl=0
  ( 8,21) type=1 normal           Item= 165 addl=0
  (10,21) type=1 normal           Item= 167 addl=0
  (14,21) type=1 normal           Item= 168 addl=0
  (16,21) type=1 normal           Item=  -1 addl=0
  (20,21) type=1 normal           Item= 287 addl=0
  (22,21) type=1 normal           Item= 172 addl=0
  (26,21) type=1 normal           Item=  -1 addl=0
  (28,21) type=1 normal           Item= 173 addl=0
  (30,21) type=1 normal           Item=  -1 addl=0
  ( 3,22) type=1 normal           Item= 294 addl=0
  (30,22) type=1 normal           Item= 325 addl=0
  (30,23) type=1 normal           Item=  -1 addl=0
  (30,24) type=1 normal           Item= 324 addl=0
  ( 2,25) type=1 normal           Item= 182 addl=0
  ( 4,25) type=1 normal           Item=  -1 addl=0
  ( 8,25) type=1 normal           Item= 183 addl=0
  (10,25) type=1 normal           Item=  -1 addl=0
  (14,25) type=1 normal           Item= 184 addl=0
  (16,25) type=1 normal           Item=  -1 addl=0
  (20,25) type=1 normal           Item=  -1 addl=0
  (22,25) type=1 normal           Item=  -1 addl=0
  (26,25) type=1 normal           Item=  -1 addl=0
  (28,25) type=1 normal           Item= 247 addl=0
  (30,25) type=1 normal           Item= 323 addl=0
  (30,26) type=1 normal           Item= 322 addl=0
  ( 2,27) type=1 normal           Item= 242 addl=0
  ( 4,27) type=1 normal           Item=  -1 addl=0
  ( 8,27) type=1 normal           Item= 292 addl=0
  (10,27) type=1 normal           Item= 291 addl=0
  (14,27) type=1 normal           Item= 244 addl=0
  (16,27) type=1 normal           Item= 243 addl=0
  (20,27) type=1 normal           Item= 289 addl=0
  (22,27) type=1 normal           Item= 210 addl=0
  (26,27) type=1 normal           Item=  -1 addl=0
  (28,27) type=1 normal           Item=  -1 addl=0
  (30,27) type=1 normal           Item=  -1 addl=0
  ( 3,28) type=5 secret_door      Item= 284 addl=3
  (30,28) type=1 normal           Item=  -1 addl=0
  ( 3,29) type=1 normal           Item=  -1 addl=0 adjSecretDoor
  ( 5,29) type=1 normal           Item= 300 addl=0
  ( 6,29) type=1 normal           Item=  -1 addl=0
  ( 7,29) type=1 normal           Item= 301 addl=0
  ( 9,29) type=1 normal           Item=  -1 addl=0
  (10,29) type=1 normal           Item= 304 addl=0
  (11,29) type=1 normal           Item= 305 addl=0
  (13,29) type=1 normal           Item=  -1 addl=0
  (14,29) type=1 normal           Item= 307 addl=0
  (15,29) type=1 normal           Item= 308 addl=0
  (17,29) type=1 normal           Item=  -1 addl=0
  (18,29) type=1 normal           Item= 310 addl=0
  (19,29) type=1 normal           Item=  -1 addl=0
  (21,29) type=1 normal           Item= 313 addl=0
  (22,29) type=1 normal           Item= 314 addl=0
  (23,29) type=1 normal           Item=  -1 addl=0
  (25,29) type=1 normal           Item=  -1 addl=0
  (26,29) type=1 normal           Item= 317 addl=0
  (27,29) type=1 normal           Item= 318 addl=0
  (29,29) type=1 normal           Item=  -1 addl=0
  (30,29) type=1 normal           Item= 321 addl=0
  ( 4,30) type=1 normal           Item= 299 addl=0
  ( 5,30) type=1 normal           Item=  -1 addl=0
  ( 7,30) type=1 normal           Item= 302 addl=0
  ( 8,30) type=1 normal           Item=  -1 addl=0
  ( 9,30) type=1 normal           Item= 303 addl=0
  (11,30) type=1 normal           Item=  -1 addl=0
  (12,30) type=1 normal           Item= 306 addl=0
  (13,30) type=1 normal           Item=  -1 addl=0
  (15,30) type=1 normal           Item=  -1 addl=0
  (16,30) type=1 normal           Item= 309 addl=0
  (17,30) type=1 normal           Item=  -1 addl=0
  (19,30) type=1 normal           Item= 311 addl=0
  (20,30) type=1 normal           Item= 312 addl=0
  (21,30) type=1 normal           Item=  -1 addl=0
  (23,30) type=1 normal           Item=  -1 addl=0
  (24,30) type=1 normal           Item= 315 addl=0
  (25,30) type=1 normal           Item= 316 addl=0
  (27,30) type=1 normal           Item= 319 addl=0
  (28,30) type=1 normal           Item= 320 addl=0
  (29,30) type=1 normal           Item=  -1 addl=0

=== L15 Need a Light?  sealed=93 ===
  ( 3, 1) type=1 normal           Item=  -1 addl=0
  (15, 1) type=1 normal           Item=  -1 addl=0
  (17, 1) type=1 normal           Item=  28 addl=0
  (29, 1) type=1 normal           Item=  -1 addl=0
  (13, 4) type=1 normal           Item= 313 addl=0
  (15, 4) type=1 normal           Item=  67 addl=0
  (17, 4) type=1 normal           Item= 299 addl=0
  (19, 4) type=1 normal           Item= 298 addl=0
  (13, 6) type=1 normal           Item= 293 addl=0
  (19, 6) type=1 normal           Item= 292 addl=0
  (10, 8) type=1 normal           Item=  88 addl=0
  (22, 8) type=1 normal           Item=  98 addl=0
  ( 6,11) type=1 normal           Item= 117 addl=0
  ( 8,11) type=1 normal           Item=  -1 addl=0
  (23,11) type=1 normal           Item= 121 addl=0
  (24,11) type=1 normal           Item= 122 addl=0
  (26,11) type=1 normal           Item=  -1 addl=0
  ( 8,12) type=1 normal           Item=  -1 addl=0
  (14,12) type=7 pillar           Item=   0 addl=0
  (18,12) type=7 pillar           Item=  12 addl=0
  (24,12) type=1 normal           Item= 128 addl=0
  ( 6,13) type=1 normal           Item=  -1 addl=0
  (26,13) type=1 normal           Item=  -1 addl=0
  (24,14) type=1 normal           Item= 151 addl=0
  ( 6,15) type=1 normal           Item= 154 addl=0
  (26,15) type=1 normal           Item= 178 addl=0
  ( 8,16) type=1 normal           Item=  -1 addl=0
  (14,16) type=7 pillar           Item=  13 addl=0
  (18,16) type=7 pillar           Item=   3 addl=0
  ( 6,17) type=1 normal           Item=  -1 addl=0
  ( 8,17) type=1 normal           Item=  -1 addl=0
  (23,17) type=1 normal           Item= 175 addl=0
  (24,17) type=1 normal           Item= 176 addl=0
  (26,17) type=1 normal           Item= 177 addl=0
  ( 3,20) type=1 normal           Item=  -1 addl=0
  ( 5,20) type=1 normal           Item= 200 addl=0
  (10,20) type=1 normal           Item= 201 addl=0
  (22,20) type=6 corpse           Item= 356 addl=19
  ( 1,22) type=7 pillar           Item= 243 addl=0
  ( 2,22) type=1 normal           Item= 348 addl=0
  ( 8,22) type=1 normal           Item= 364 addl=0
  ( 9,22) type=7 pillar           Item= 245 addl=0
  (13,22) type=1 normal           Item= 218 addl=0
  (14,22) type=1 normal           Item=  -1 addl=0
  (18,22) type=1 normal           Item= 222 addl=0
  (19,22) type=1 normal           Item= 223 addl=0
  ( 1,23) type=7 pillar           Item= 233 addl=0
  ( 2,23) type=6 corpse           Item= 372 addl=23
  ( 8,23) type=1 normal           Item= 359 addl=0
  ( 9,23) type=7 pillar           Item= 347 addl=0
  ( 1,24) type=7 pillar           Item= 345 addl=0
  ( 2,24) type=1 normal           Item= 346 addl=0
  ( 4,24) type=1 normal           Item= 234 addl=0
  ( 5,24) type=6 corpse           Item= 362 addl=22
  ( 6,24) type=1 normal           Item= 236 addl=0
  (13,24) type=1 normal           Item=  -1 addl=0
  (15,24) type=1 normal           Item=  -1 addl=0
  (17,24) type=1 normal           Item=  -1 addl=0
  (19,24) type=1 normal           Item= 240 addl=0
  ( 1,25) type=7 pillar           Item= 232 addl=0
  ( 2,25) type=1 normal           Item= 351 addl=0
  ( 3,25) type=1 normal           Item=  -1 addl=0
  ( 4,25) type=1 normal           Item= 352 addl=0
  ( 6,25) type=1 normal           Item= 244 addl=0
  ( 8,25) type=6 corpse           Item= 360 addl=20
  (10,25) type=1 normal           Item= 324 addl=0
  ( 6,26) type=1 normal           Item= 353 addl=0
  ( 1,27) type=1 normal           Item= 355 addl=0
  ( 2,27) type=1 normal           Item=  -1 addl=0
  ( 3,27) type=1 normal           Item= 354 addl=0
  ( 4,27) type=1 normal           Item= 267 addl=0
  ( 5,27) type=1 normal           Item=  -1 addl=0
  ( 6,27) type=1 normal           Item=  -1 addl=0
  ( 8,27) type=4 door_trigger     Item= 268 addl=134
  (10,27) type=1 normal           Item=  -1 addl=0
  (29,27) type=1 normal           Item=  -1 addl=0
  ( 1,28) type=1 normal           Item= 278 addl=0
  ( 8,28) type=1 normal           Item= 286 addl=0
  ( 1,29) type=1 normal           Item=  -1 addl=0
  ( 2,29) type=1 normal           Item= 289 addl=0
  ( 3,29) type=1 normal           Item= 159 addl=0
  ( 4,29) type=1 normal           Item=  -1 addl=0
  ( 5,29) type=1 normal           Item= 290 addl=0
  ( 6,29) type=1 normal           Item= 282 addl=0
  ( 7,29) type=6 corpse           Item= 349 addl=21
  ( 8,29) type=1 normal           Item=  -1 addl=0
  ( 2,30) type=7 pillar           Item= 285 addl=0
  ( 3,30) type=7 pillar           Item= 136 addl=0
  ( 4,30) type=7 pillar           Item= 235 addl=0
  ( 5,30) type=7 pillar           Item= 284 addl=0
  ( 6,30) type=7 pillar           Item= 253 addl=0
  ( 7,30) type=7 pillar           Item= 257 addl=0
  ( 8,30) type=7 pillar           Item= 226 addl=0

=== L24 Ok, Who Else Wants Some?  sealed=124 ===
  ( 8, 1) type=1 normal           Item=  -1 addl=0
  (12, 1) type=1 normal           Item=  -1 addl=0
  (13, 1) type=1 normal           Item=  -1 addl=0
  (17, 1) type=1 normal           Item=  -1 addl=0
  (18, 1) type=1 normal           Item=  -1 addl=0
  (22, 1) type=1 normal           Item=  -1 addl=0
  (23, 1) type=1 normal           Item=  -1 addl=0
  (28, 1) type=1 normal           Item=  -1 addl=0
  ( 7, 2) type=1 normal           Item=  -1 addl=0
  ( 8, 2) type=1 normal           Item=  -1 addl=0
  (11, 2) type=1 normal           Item=  -1 addl=0
  (14, 2) type=1 normal           Item=  -1 addl=0
  (16, 2) type=1 normal           Item=  -1 addl=0
  (19, 2) type=1 normal           Item=  -1 addl=0
  (21, 2) type=1 normal           Item=  -1 addl=0
  (24, 2) type=1 normal           Item=  -1 addl=0
  (28, 2) type=1 normal           Item=  -1 addl=0
  ( 8, 3) type=1 normal           Item=  -1 addl=0
  (11, 3) type=1 normal           Item=  -1 addl=0
  (14, 3) type=1 normal           Item=  -1 addl=0
  (16, 3) type=1 normal           Item=  -1 addl=0
  (19, 3) type=1 normal           Item=  -1 addl=0
  (24, 3) type=1 normal           Item=  -1 addl=0
  (27, 3) type=1 normal           Item=  -1 addl=0
  (28, 3) type=1 normal           Item=  -1 addl=0
  (29, 3) type=1 normal           Item=  -1 addl=0
  ( 8, 4) type=1 normal           Item=  -1 addl=0
  (12, 4) type=1 normal           Item=  -1 addl=0
  (13, 4) type=1 normal           Item=  -1 addl=0
  (14, 4) type=1 normal           Item=  -1 addl=0
  (17, 4) type=1 normal           Item=  -1 addl=0
  (18, 4) type=1 normal           Item=  -1 addl=0
  (19, 4) type=1 normal           Item=  -1 addl=0
  (22, 4) type=1 normal           Item=  -1 addl=0
  (23, 4) type=1 normal           Item=  -1 addl=0
  (27, 4) type=1 normal           Item=  -1 addl=0
  (28, 4) type=1 normal           Item=  -1 addl=0
  (29, 4) type=1 normal           Item=  -1 addl=0
  ( 8, 5) type=1 normal           Item=  -1 addl=0
  (14, 5) type=1 normal           Item=  -1 addl=0
  (19, 5) type=1 normal           Item=  -1 addl=0
  (24, 5) type=1 normal           Item=  -1 addl=0
  (26, 5) type=1 normal           Item=  -1 addl=0
  (27, 5) type=1 normal           Item=  -1 addl=0
  (28, 5) type=1 normal           Item=  -1 addl=0
  (29, 5) type=1 normal           Item=  -1 addl=0
  (30, 5) type=1 normal           Item=  -1 addl=0
  ( 7, 6) type=1 normal           Item=  -1 addl=0
  ( 8, 6) type=1 normal           Item=  -1 addl=0
  ( 9, 6) type=1 normal           Item=  -1 addl=0
  (12, 6) type=1 normal           Item=  -1 addl=0
  (13, 6) type=1 normal           Item=  -1 addl=0
  (17, 6) type=1 normal           Item=  -1 addl=0
  (18, 6) type=1 normal           Item=  -1 addl=0
  (21, 6) type=1 normal           Item=  -1 addl=0
  (24, 6) type=1 normal           Item=  -1 addl=0
  (26, 6) type=1 normal           Item=  -1 addl=0
  (27, 6) type=1 normal           Item=  -1 addl=0
  (28, 6) type=1 normal           Item=  -1 addl=0
  (29, 6) type=1 normal           Item=  -1 addl=0
  (30, 6) type=1 normal           Item=  -1 addl=0
  (22, 7) type=1 normal           Item=  -1 addl=0
  (23, 7) type=1 normal           Item=  -1 addl=0
  (25,24) type=1 normal           Item=  -1 addl=0
  (28,24) type=1 normal           Item=  -1 addl=0
  (29,24) type=1 normal           Item=  -1 addl=0
  (29,25) type=1 normal           Item=  -1 addl=0
  ( 1,26) type=1 normal           Item=  -1 addl=0
  ( 3,26) type=1 normal           Item=  -1 addl=0
  ( 4,26) type=1 normal           Item=  -1 addl=0
  ( 7,26) type=1 normal           Item=  -1 addl=0
  ( 8,26) type=1 normal           Item=  -1 addl=0
  ( 9,26) type=1 normal           Item=  -1 addl=0
  (13,26) type=1 normal           Item=  -1 addl=0
  (14,26) type=1 normal           Item=  -1 addl=0
  (15,26) type=1 normal           Item=  -1 addl=0
  (20,26) type=1 normal           Item=  -1 addl=0
  (21,26) type=1 normal           Item=  -1 addl=0
  (22,26) type=1 normal           Item=  -1 addl=0
  (24,26) type=1 normal           Item=  -1 addl=0
  (25,26) type=1 normal           Item=  -1 addl=0
  (29,26) type=1 normal           Item=  -1 addl=0
  ( 6,27) type=1 normal           Item=  -1 addl=0
  (13,27) type=1 normal           Item=  -1 addl=0
  (16,27) type=1 normal           Item=  -1 addl=0
  (19,27) type=1 normal           Item=  -1 addl=0
  (22,27) type=1 normal           Item=  -1 addl=0
  (25,27) type=1 normal           Item=  -1 addl=0
  (29,27) type=1 normal           Item=  -1 addl=0
  ( 7,28) type=1 normal           Item=  -1 addl=0
  ( 8,28) type=1 normal           Item=  -1 addl=0
  ( 9,28) type=1 normal           Item=  -1 addl=0
  (13,28) type=1 normal           Item=  -1 addl=0
  (16,28) type=1 normal           Item=  -1 addl=0
  (19,28) type=1 normal           Item=  -1 addl=0
  (22,28) type=1 normal           Item=  -1 addl=0
  (25,28) type=1 normal           Item=  -1 addl=0
  (29,28) type=1 normal           Item=  -1 addl=0
  (10,29) type=1 normal           Item=  -1 addl=0
  (13,29) type=1 normal           Item=  -1 addl=0
  (16,29) type=1 normal           Item=  -1 addl=0
  (19,29) type=1 normal           Item=  -1 addl=0
  (21,29) type=1 normal           Item=  -1 addl=0
  (22,29) type=1 normal           Item=  -1 addl=0
  (25,29) type=1 normal           Item=  -1 addl=0
  (29,29) type=1 normal           Item=  -1 addl=0
  ( 6,30) type=1 normal           Item=  -1 addl=0
  ( 7,30) type=1 normal           Item=  -1 addl=0
  ( 8,30) type=1 normal           Item=  -1 addl=0
  ( 9,30) type=1 normal           Item=  -1 addl=0
  (12,30) type=1 normal           Item=  -1 addl=0
  (13,30) type=1 normal           Item=  -1 addl=0
  (14,30) type=1 normal           Item=  -1 addl=0
  (16,30) type=1 normal           Item=  -1 addl=0
  (17,30) type=1 normal           Item=  -1 addl=0
  (19,30) type=1 normal           Item=  -1 addl=0
  (20,30) type=1 normal           Item=  -1 addl=0
  (22,30) type=1 normal           Item=  -1 addl=0
  (24,30) type=1 normal           Item=  -1 addl=0
  (25,30) type=1 normal           Item=  -1 addl=0
  (26,30) type=1 normal           Item=  -1 addl=0
  (28,30) type=1 normal           Item=  -1 addl=0
  (29,30) type=1 normal           Item=  -1 addl=0
  (30,30) type=1 normal           Item=  -1 addl=0

=== L03 They May Be Slow…  sealed=5 (small leftover) ===
  (15, 6) type=5 secret_door      Item=  -1 addl=3
  (15, 7) type=1 normal           Item= 294 addl=0
  ( 5,27) type=1 normal           Item=  -1 addl=0
  ( 5,28) type=5 secret_door      Item=  -1 addl=1
  ( 8,28) type=5 secret_door      Item=  -1 addl=3

=== L04 …But They’re Hungry  sealed=1 (small leftover) ===
  (23,29) type=5 secret_door      Item=  -1 addl=2

=== L20 Don’t Get Poisoned!  sealed=9 (small leftover) ===
  ( 1, 1) type=1 normal           Item= 218 addl=0
  ( 2, 1) type=1 normal           Item= 213 addl=0
